#,Tênis Verde,IMDB,Título,1a. Vez,Última Vez,Vezes,Nota
217,copacabana,tt1454910,Copacabana,2011-10-11,2011-10-11,1,5
216,cartas-para-julieta,tt0892318,Cartas Para Julieta,2011-10-10,2011-10-10,1,2
215,o-livro-dos-espiritos,tt2210871,O Filme dos Espíritos,2011-10-08,2011-10-08,1,1
214,incendios,tt1255953,Incêndios,2011-09-28,2011-09-28,1,5
213,confiar,tt1529572,Confiar,2011-09-27,2011-09-27,1,3
212,pronta-para-amar,tt1440161,Pronta Para Amar,2011-09-21,2011-09-21,1,3
211,cowboys-e-aliens,tt0409847,Cowboys e Aliens,2011-09-18,2011-09-18,1,3
210,os-smurfs,tt0472181,Os Smurfs,2011-09-11,2011-09-11,1,3
209,o-homem-do-futuro,tt2027178,O Homem do Futuro,2011-09-11,2011-09-11,1,4
208,medianeras-buenos-aires-da-era-do-amor-digital,tt1235841,Medianeras Buenos Aires da Era do Amor Virtual,2011-09-11,2013-12-30,2,3
207,a-viagem-de-lucia,tt1463167,A Viagem de Lucia,2011-09-07,2011-09-07,1,3
206,o-rei-leao,tt0592317,O Rei Leão,2011-09-05,2012-12-25,2,4
205,watchmen,tt0409459,Watchmen O Filme,2011-09-04,2011-09-04,1,5
204,rango,tt1192628,Rango,2011-09-03,2011-09-03,1,4
203,viagem-a-lua,tt1305408,Viagem à Lua,2011-09-01,2011-09-01,1,4
202,planeta-dos-macacos-a-origem,tt1318514,Planeta dos Macacos A Origem,2011-08-31,2011-08-31,1,5
201,lanterna-verde,tt1133985,Lanterna Verde,2011-08-29,2011-08-29,1,3
200,diario-de-uma-busca,tt1827391,Diario de Uma Busca,2011-08-29,2011-08-29,1,3
199,assalto-ao-banco-central,tt1579223,Assalto ao Banco Central,2011-08-23,2011-08-23,1,2
198,como-enlouquecer-seu-chefe,tt0151804,Como Enlouquecer seu Chefe,2011-08-22,2012-09-19,2,3
197,um-parto-de-viagem,tt1231583,Um Parto de Viagem,2011-08-22,2011-08-22,1,3
196,o-solista,tt0821642,O Solista,2011-08-22,2011-08-22,1,3
195,mulher-nota-mil,tt0090305,Mulher Nota Mil,2011-08-22,2011-08-22,1,2
194,quero-matar-meu-chefe,tt1499658,Quero Matar Meu Chefe,2011-08-17,2011-08-17,1,3
193,a-arvore-da-vida,tt0478304,A Árvore da Vida,2011-08-17,2011-08-17,1,5
192,super-8,tt1650062,Super 8,2011-08-15,2011-08-15,1,3
191,g-i-joe-a-origem-de-cobra,tt1046173,G.I. Joe A Origem de Cobra,2011-08-14,2011-08-14,1,1
190,capital-america-o-primeiro-vingador,tt0458339,Capitão América O Primeiro Vingador,2011-08-09,2011-08-09,1,3
189,melancolia,tt1527186,Melancolia,2011-08-07,2011-08-07,1,5
188,meia-noite-em-paris,tt1605783,Meia-Noite em Paris,2011-07-31,2011-07-31,1,4
187,edward-maos-de-tesoura,tt0099487,Edward Mãos de Tesoura,2011-07-31,2011-07-31,1,3
186,apenas-o-fim,tt1424746,Apenas o Fim,2011-07-31,2011-07-31,1,3
185,a-serbian-film,tt1273235,A Serbian Film Terror sem Limites,2011-07-31,2011-07-31,1,4
184,harry-potter-e-as-reliquias-da-morte-parte-2,tt1201607,Harry Potter e as Relíquias da Morte Parte 2,2011-07-22,2011-07-22,1,5
183,carros-2,tt1216475,Carros 2,2011-07-20,2011-07-20,1,2
182,operacao-presente,tt1430607,Operação Presente,2011-07-12,2011-07-12,1,4
181,the-housemaid,tt0479429,The Housemaid,2011-07-08,2011-07-08,1,4
180,transformers-o-lado-oculto-da-lua,tt1399103,Transformers O Lado Oculto da Lua,2011-07-06,2011-07-06,1,1
179,os-pinguins-do-papai,tt1396218,Os Pinguins do Papai,2011-07-04,2011-07-04,1,3
178,entrando-numa-fria-maior-ainda-com-a-familia,tt0970866,Entrando Numa Fria Maior Ainda com a Família,2011-07-01,2011-07-01,1,3
177,alem-da-vida,tt3429482,Amor Além da Vida,2011-07-01,2011-07-01,1,3
176,a-arvore,tt1496005,A Árvore,2011-07-01,2011-07-01,1,3
175,psicose,tt0054215,Psicose,2011-06-30,2011-06-30,1,5
174,o-segredo-dos-seus-olhos,tt1305806,O Segredo dos Seus Olhos,2011-06-26,2011-06-26,1,5
173,quebrando-o-tabu,tt1951090,Quebrando o Tabu,2011-06-23,2011-06-23,1,3
172,guerra-nas-estrelas,tt0076759,Guerra nas Estrelas,2011-06-23,2011-06-23,1,5
171,cirque-du-freak-o-assistente-de-vampiro,tt0450405,Cirque du Freak O Aprendiz de Vampiro,2011-06-20,2011-06-20,1,3
170,o-homem-que-sabia-demais-1934,tt0025452,O Homem que Sabia Demais,2011-06-16,2011-06-16,1,4
169,um-gato-em-paris,tt1673702,Um Gato em Paris,2011-06-12,2011-06-12,1,4
168,star-wars-episodio-iii-a-vinganca-dos-sith,tt0121766,Star Wars Episódio III A Vingança dos Sith,2011-06-12,2011-06-12,1,4
167,o-pai-dos-meus-filhos,tt1356928,O Pai dos Meus Filhos,2011-06-12,2011-06-12,1,3
166,kung-fu-panda-2,tt1302011,Kung Fu Panda 2,2011-06-12,2011-06-12,1,4
165,a-queda-as-ultimas-horas-de-hitler,tt0363163,A Queda! As Últimas Horas de Hitler,2011-06-12,2011-06-12,1,4
164,minhas-maes-e-meu-pai,tt0842926,Minhas Mães e Meu Pai,2011-06-08,2011-06-08,1,3
163,x-men-primeira-classe,tt1270798,X-Men Primeira Classe,2011-06-07,2011-06-07,1,5
162,piratas-do-caribe-4-navegando-em-aguas-misteriosas,tt1298650,Piratas do Caribe Navegando em Águas Misteriosas,2011-06-01,2011-06-01,1,2
161,star-wars-episodio-ii-ataque-dos-clones,tt0121765,Star Wars Episódio II Ataque dos Clones,2011-05-29,2011-05-29,1,5
160,singularidades-de-uma-rapariga-loura,tt1013856,Singularidades de uma Rapariga Loura,2011-05-29,2011-05-29,1,2
159,star-wars-episodio-i-a-ameaca-fantasma,tt0120915,Star Wars Episódio I A Ameaça Fantasma,2011-05-27,2011-05-27,1,3
158,velozes-e-furiosos-5-operacao-rio,tt1596343,Velozes e Furiosos 5 Operação Rio,2011-05-25,2011-05-25,1,4
157,wall-street-poder-e-cobica,tt0094291,Wall Street Poder e Cobiça,2011-05-23,2011-05-23,1,5
156,garota-infernal,tt1131734,Garota Infernal,2011-05-21,2011-05-21,1,2
155,os-agentes-do-destino,tt1385826,Os Agentes do Destino,2011-05-19,2011-05-19,1,4
154,scott-pilgrim-contra-o-mundo,tt0446029,Scott Pilgrim Contra o Mundo,2011-05-16,2013-12-28,2,5
153,coincidencias-do-amor,tt0889573,Coincidências do Amor,2011-05-16,2011-05-16,1,3
152,os-bebes,tt1020938,Bebês,2011-05-01,2011-05-01,1,4
151,hop-rebeldes-sem-pascoa,tt1411704,Hop Rebeldes sem Páscoa,2011-05-01,2011-05-01,1,3
150,um-conto-chines,tt1705786,Um Conto Chinês,2011-04-27,2011-04-27,1,4
149,turne,tt1451762,Turnê,2011-04-27,2011-04-27,1,4
148,rio,tt1436562,Rio,2011-04-27,2011-04-27,1,3
147,polaroides-urbanas,tt0798732,Polaróides Urbanas,2011-04-27,2011-04-27,1,4
146,o-fantastico-sr-raposo,tt0432283,O Fantástico Sr. Raposo,2011-04-27,2011-04-27,1,4
145,jumper,tt0489099,Jumper,2011-04-27,2011-04-27,1,3
144,invasao-do-mundo-batalha-de-los-angeles,tt1217613,Invasão do Mundo Batalha de Los Angeles,2011-04-27,2011-04-27,1,3
